Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bradley Beal,,8.5,7.6,6.9,4,3.7,3,2.7
Lucius Allen,92.9,8.2,7.6,7.6,3.9,3.6,2.2,1.9
Kirk Hinrich,91.8,10.1,7.6,7.2,4.1,4,3.6,2.6
Eddie Johnson,90.2,8.2,6.9,6.3,4.8,3.5,3,1.7
Sleepy Floyd,89.7,10,7.7,7.5,4.4,4.4,3.1,2.2
Kenny Smith,88.9,9,8.2,6.1,5.1,4.1,2.6,2.2
Baron Davis,88.6,8.9,8.2,7.5,4.5,4.4,4.4,2.1
Jason Richardson,88.6,7.4,7.3,5.7,5.2,3.7,3,2.9
Devin Harris,88.4,7.5,6.5,5.6,4.2,3.7,2.7,2.7
Vinny Del Negro,88.0,8.3,6.8,5.7,3.5,3.1,2.5,2.2
Joe Johnson,88.0,7.6,7,6,5.1,3.3,3,2.8
