Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bradley Beal,,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
Micheal Ray Richardson,86.4,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
George King,86.3,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA,NA,NA
Eric Bledsoe,86.1,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA
Lucius Allen,84.9,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA,NA
Paul Seymour,84.7,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Warren Jabali,84.0,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA,NA
Glen Combs,83.5,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA,NA,NA
Eddie Johnson,83.2,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
Ronnie Brewer,83.1,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA,NA
John Wall,83.0,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA,NA
