,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,20,ORL,NBA,SF,82,2390,,23%,76%,1%,,+2.6,+3.9,40,28,98,17,45,0,313,12,27
2001-02,21,ORL,NBA,SF,63,2123,,17%,74%,10%,,+3.9,+4.6,45,34,68,19,77,0,444,17,46
2002-03,22,TOT,NBA,SF,65,2186,,19%,75%,5%,,+2.0,+5.1,43,36,69,28,71,0,381,16,43
2002-03,22,ORL,NBA,SF,49,1826,,21%,72%,7%,,+1.2,+2.1,35,28,54,22,59,0,313,14,36
2002-03,22,MEM,NBA,SF,16,360,,10%,90%,,,+5.7,+10.1,8,8,15,6,12,0,68,2,7
2003-04,23,MEM,NBA,SF,65,1770,1%,25%,74%,,,+3.4,+1.0,51,22,74,23,54,0,519,10,34
2004-05,24,MEM,NBA,SF,76,2278,,,84%,16%,,+5.6,+6.5,59,29,83,28,59,0,508,20,35
2005-06,25,MEM,NBA,SG,74,2268,,46%,54%,,,+2.3,-5.1,71,28,77,27,75,18,454,23,29
2006-07,26,MEM,NBA,SG,70,2740,,39%,59%,2%,,-5.9,-1.1,94,41,70,20,75,20,656,29,36
2007-08,27,MEM,NBA,SG,70,2474,,45%,53%,2%,,-5.2,+4.0,86,47,66,27,82,12,548,31,42
2008-09,28,MIN,NBA,SF,73,2356,,29%,70%,1%,,-6.1,-1.2,80,36,64,21,57,16,751,15,26
2009-10,29,WAS,NBA,SG,54,1805,,52%,47%,1%,,-5.5,+0.1,63,24,67,15,33,5,456,12,16
2010-11,30,MIA,NBA,SG,41,838,,55%,45%,1%,,-1.1,-12.3,27,4,36,6,12,3,116,5,10
2011-12,31,MIA,NBA,SG,39,752,2%,63%,34%,1%,,+10.3,+4.7,18,8,28,1,2,2,93,0,6
2012-13,32,MIA,NBA,SF,59,900,,39%,60%,1%,,+3.6,-7.1,19,8,36,4,2,2,229,0,8
2013-14,33,MEM,NBA,SF,82,1707,,33%,65%,2%,,-2.3,-7.7,50,10,44,13,14,3,286,2,7
2014-15,34,CLE,NBA,SF,52,701,,26%,43%,31%,,-5.7,-12.6,15,3,33,4,0,0,105,0,3
2015-16,35,DEN,NBA,SF,47,373,,,48%,52%,1%,-13.0,-10.9,11,2,24,4,0,1,93,0,3
2016-17,36,DEN,NBA,SF,20,151,,10%,76%,14%,,-2.6,-2.8,10,0,4,2,0,0,54,0,0
Career,,,NBA,,1032,27812,,31%,64%,5%,,-0.5,0.0,782,360,941,259,658,82,6006,192,371
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,453,13597,,32%,65%,4%,,-0.5,+0.2,419,185,429,144,371,53,3039,117,190
3 seasons,,ORL,NBA,,194,6339,,20%,74%,6%,,+2.6,+3.6,120,90,220,58,181,0,1070,43,109
3 seasons,,MIA,NBA,,139,2490,1%,51%,47%,1%,,+4.1,-5.3,64,20,100,11,16,7,438,5,24
1 season,,MIN,NBA,,73,2356,,29%,70%,1%,,-6.1,-1.2,80,36,64,21,57,16,751,15,26
2 seasons,,DEN,NBA,,67,524,,3%,56%,41%,,-10.0,-8.6,21,2,28,6,0,1,147,0,3
1 season,,WAS,NBA,,54,1805,,52%,47%,1%,,-5.5,+0.1,63,24,67,15,33,5,456,12,16
1 season,,CLE,NBA,,52,701,,26%,43%,31%,,-5.7,-12.6,15,3,33,4,0,0,105,0,3
