Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Jalen Rose,,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,NA,NA,NA,NA,NA
Sedale Threatt,91.1,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,NA,NA,NA,NA
Kendall Gill,89.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,NA,NA,NA
J.R. Smith,88.9,6.7,5.8,5.5,5,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2,-0.2,NA,NA,NA
Jameer Nelson,88.4,6.6,6,5.6,5,4.9,4,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5,NA,NA,NA,NA
Craig Ehlo,87.0,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0,NA,NA,NA,NA
D.J. Augustin,86.6,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA,NA,NA,NA,NA,NA,NA
Steve Kerr,86.5,8.3,7.5,6.1,5.9,3.8,3.2,2.4,2.2,1.8,1.6,1.5,1.3,0.6,0.6,0.4,NA,NA,NA
Wesley Matthews,86.0,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA
Vinnie Johnson,85.8,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA,NA,NA,NA
Jerry Stackhouse,85.7,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0,-0.4
