Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Eddie Miles,,6,5.9,4,3.7,2.4,2,1.2,0,-0.9
Bonzi Wells,88.9,6,5.9,4,3.4,3.1,3.1,0.9,0.1,-0.1
Quentin Richardson,86.4,5.8,5.6,3.5,3,2.4,2.1,1,0.7,0.3
Delonte West,86.3,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA
Ron Williams,86.3,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA
Craig Hodges,84.3,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.5
Martell Webster,83.8,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0
Raja Bell,83.5,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.1,-0.1
Fred Hoiberg,83.4,6.1,5.9,2.7,2.3,2.1,1.8,1.3,0.2,0
Earl Boykins,83.3,6,4.5,4.1,3.5,2.9,1,0.8,0.3,-0.3
Lester Conner,83.3,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.7,0.5
