Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Eddie Miles,,6,5.9,4,3.7,2.4,2,1.2,0,-0.9,NA
Delonte West,86.3,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Ron Williams,86.3,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
Martell Webster,83.6,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0
Chris Duhon,82.9,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA
Craig Hodges,82.5,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
Fred Hoiberg,82.5,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0
Bonzi Wells,82.3,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1
Kentavious Caldwell-Pope,81.9,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA,NA
Bobby Phills,81.7,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA
Anthony Parker,81.2,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA
