Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rex Walters,,1.6,1.6,1.2,0.9,0.5,0.4,0.3
Howard Komives,87.3,1.5,1.4,1,0.9,0.7,0.3,0.2
John Wetzel,85.8,2,1.5,1.1,0.7,0.5,0.5,0.4
Tony Smith,85.4,1.7,1.5,1.3,1.3,0.6,0.5,0.1
Joe Hassett,79.1,2,1.6,1.4,0.9,0.5,0,NA
Eddie House,78.0,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Keyon Dooling,76.6,2.1,1.5,1.4,1.1,0.3,0.3,0
Todd Lichti,76.4,1.8,1.3,1.2,1,0.2,NA,NA
Michael Carter-Williams,71.4,1.3,1.2,0.9,0.8,0.8,0.2,NA
Dahntay Jones,71.1,2,1.8,0.9,0.7,0.6,0.4,-0.4
Nelson Bobb,70.6,2,1.8,1.2,1.1,NA,NA,NA
