Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rex Walters,,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA
John Wetzel,85.8,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA,NA
Tony Smith,81.8,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2,NA
Joe Hassett,79.1,2,1.6,1.4,0.9,0.5,0,NA,NA,NA,NA
Todd Lichti,76.4,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA,NA
Howard Komives,74.8,1.5,1.4,1,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8
Michael Carter-Williams,71.4,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA
Nelson Bobb,70.6,2,1.8,1.2,1.1,NA,NA,NA,NA,NA,NA
Marcus Banks,70.2,2.3,1.9,0.8,0.7,0.5,0.4,0,0,NA,NA
Troy Daniels,69.2,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA
Juan Dixon,68.7,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA,NA,NA
