Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,MIL,NBA,C,1,0,18:00,4,8,0.5,NA,NA,NA,2,2,1,NA,11,4,NA,NA,NA,6,10
1970-71,23,MIL,NBA,C,1,1,30:00,8,16,0.5,NA,NA,NA,3,4,0.75,NA,14,1,NA,NA,NA,2,19
1971-72,24,MIL,NBA,C,1,1,19:00,5,10,0.5,NA,NA,NA,2,2,1,NA,7,2,NA,NA,NA,0,12
1972-73,25,MIL,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-74,26,MIL,NBA,C,1,1,23:00,7,11,0.636,NA,NA,NA,0,0,NA,1,8,6,1,1,NA,2,14
1974-75,27,MIL,NBA,C,1,1,19:00,3,10,0.3,NA,NA,NA,1,2,0.5,5,10,3,0,1,NA,2,7
1975-76,28,LAL,NBA,C,1,1,36:00,9,16,0.563,NA,NA,NA,4,4,1,2,15,3,0,3,NA,3,22
1976-77,29,LAL,NBA,C,1,0,23:00,8,14,0.571,NA,NA,NA,5,6,0.833,3,4,2,0,1,NA,1,21
1978-79,31,LAL,NBA,C,1,1,28:00,5,12,0.417,NA,NA,NA,1,2,0.5,1,8,3,1,1,3,4,11
1979-80,32,LAL,NBA,C,1,1,30:00,6,17,0.353,0,0,NA,5,6,0.833,5,16,9,0,6,9,5,17
1980-81,33,LAL,NBA,C,1,1,23:00,6,9,0.667,0,0,NA,3,3,1,2,6,4,0,4,3,3,15
1981-82,34,LAL,NBA,C,1,1,22:00,1,10,0.1,0,0,NA,0,0,NA,1,3,1,0,2,1,3,2
1982-83,35,LAL,NBA,C,1,1,32:00,9,12,0.75,0,0,NA,2,3,0.667,2,6,5,1,4,1,1,20
1983-84,36,LAL,NBA,C,1,1,37:00,11,19,0.579,0,0,NA,3,4,0.75,5,13,2,0,1,4,5,25
1984-85,37,LAL,NBA,C,1,1,23:00,5,10,0.5,0,0,NA,1,2,0.5,0,6,1,1,1,1,5,11
1985-86,38,LAL,NBA,C,1,1,32:00,9,15,0.6,0,0,NA,3,4,0.75,2,7,2,2,2,5,4,21
1986-87,39,LAL,NBA,C,1,0,27:00,4,9,0.444,0,0,NA,2,2,1,2,8,3,0,2,1,5,10
1987-88,40,LAL,NBA,C,1,0,14:00,4,9,0.444,0,0,NA,2,2,1,2,4,0,0,0,0,3,10
1988-89,41,LAL,NBA,C,1,0,13:00,1,6,0.167,0,1,0,2,2,1,0,3,0,0,2,0,3,4
Career,NA,,NBA,,18,13,449,105,213,0.493,0,1,0,41,50,0.82,33,149,51,6,31,28,57,251
