Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Trevor Wilson,,0.8,0.3,0.2,-0.5
Ansu Sesay,50.5,0.8,0.5,0.2,-0.1
Bob Thornton,49.5,0.9,0.4,0.1,-0.3
Jamie Watson,49.3,0.8,0.3,0.1,0
Christian Wood,49.1,0.8,0.3,0.3,NA
Bob Peterson,46.1,0.9,0.4,0.2,NA
Mel Bennett,43.9,0.7,0.3,0.1,-0.1
Scott Roth,41.8,0.7,0.3,0.1,NA
Gene Guarilia,40.5,0.7,0.5,0.3,-0.2
Michael Smith,40.2,0.7,0.3,0.3,NA
Bob Arnzen,40.1,1,0.3,0.3,-0.1
