Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Trevor Wilson,,0.8,0.3,0.2,-0.5
Ansu Sesay,50.5,0.8,0.5,0.2,-0.1
Jamie Watson,49.3,0.8,0.3,0.1,0
Christian Wood,49.1,0.8,0.3,0.3,NA
Bob Peterson,46.1,0.9,0.4,0.2,NA
Scott Roth,41.8,0.7,0.3,0.1,NA
Gene Guarilia,40.5,0.7,0.5,0.3,-0.2
Michael Smith,40.2,0.7,0.3,0.3,NA
Bob Arnzen,40.1,1,0.3,0.3,-0.1
Jay Miller,37.3,0.9,0.7,0.1,-0.3
Anthony Bennett,36.3,0.5,0.3,0.1,-0.4
