Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Cliff Anderson,,0.4,0.1,0,-0.2
Troy Hudson,53.7,0.5,0.1,0,-0.2
Sean Higgins,46.9,0.4,0,0,-0.1
Andre Barrett,41.0,0.4,0,0,-0.1
Bob Duffy,35.1,0.3,0.1,0.1,NA
Derrick Dial,34.7,0.4,0.1,0.1,0.1
Jaren Jackson,34.2,0.4,0.1,0,-0.1
Stephen Graham,31.0,0.4,0,0,-0.1
Lance Blanks,27.7,0.4,0.2,0.1,NA
Malcolm Lee,21.8,0.4,0.1,0,NA
Milt Williams,18.9,0.4,0.2,0.1,0.1
