Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,LAL,NBA,SG,18,94,4.5,0.315,NA,0.966,NA,NA,NA,20.3,NA,NA,NA,-0.3,0.1,-0.2,-0.113
1968-69,24,LAL,NBA,SG,35,289,11.5,0.468,NA,0.759,NA,NA,NA,14.4,NA,NA,NA,0.1,0.2,0.4,0.063
1969-70,25,DNR,ABA,SG,3,22,6.7,0.452,0,1.5,NA,NA,8,22,31.1,16.3,NA,0,0,0,0.082
1970-71,26,TOT,NBA,SG,28,198,12.8,0.455,NA,1.031,NA,NA,11.5,13.4,NA,NA,NA,0,0.1,0.1,0.022
1970-71,26,CLE,NBA,SG,23,171,13.2,0.463,NA,1.017,NA,NA,10.4,12.9,NA,NA,NA,0,0.1,0.1,0.022
1970-71,26,PHI,NBA,SG,5,27,10.1,0.385,NA,1.167,NA,NA,18.3,16.9,NA,NA,NA,0,0,0,0.021
Career,NA,,TOT,,84,603,10.6,0.442,0,0.888,NA,NA,11.2,15.3,31.1,16.3,NA,-0.2,0.5,0.3,0.023
,NA,,NBA,,81,581,10.8,0.441,NA,0.876,NA,NA,11.5,15,NA,NA,NA,-0.2,0.4,0.3,0.021
,NA,,ABA,,3,22,6.7,0.452,0,1.5,NA,NA,8,22,31.1,16.3,NA,0,0,0,0.082
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,53,383,9.8,0.434,NA,0.803,NA,NA,NA,15.8,NA,NA,NA,-0.2,0.3,0.2,0.02
1 season,NA,CLE,NBA,,23,171,13.2,0.463,NA,1.017,NA,NA,10.4,12.9,NA,NA,NA,0,0.1,0.1,0.022
1 season,NA,PHI,NBA,,5,27,10.1,0.385,NA,1.167,NA,NA,18.3,16.9,NA,NA,NA,0,0,0,0.021
1 season,NA,DNR,ABA,,3,22,6.7,0.452,0,1.5,NA,NA,8,22,31.1,16.3,NA,0,0,0,0.082
