,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,LAL,NBA,,2,,,,,,4,7,,,,,,,4
1968-69,24,LAL,NBA,,4,8,,,,,8,11,,,5,6,,4,11
1969-70,25,DNR,ABA,,1,,0,,,,2,5,,,,,,,2
1970-71,26,TOT,NBA,,5,13,,,,,10,16,,,10,4,,6,20
1970-71,26,CLE,NBA,,5,13,,,,,10,16,,,10,4,,6,20
1970-71,26,PHI,NBA,,1,3,,,,,4,4,,,7,2,,3,6
Career,,,TOT,,5,,,,,,10,16,,,,,,,20
,,,NBA,,5,,,,,,10,16,,,,,,,20
,,,ABA,,1,,0,,,,2,5,,,,,,,2
,,,,,,,,,,,,,,,,,,,
2 Seasons,,LAL,NBA,,4,,,,,,8,11,,,,,,,11
1 Season,,CLE,NBA,,5,13,,,,,10,16,,,10,4,,6,20
1 Season,,PHI,NBA,,1,3,,,,,4,4,,,7,2,,3,6
1 Season,,DNR,ABA,,1,,0,,,,2,5,,,,,,,2
