Season,Team,Lg,Salary
1987-88,Sacramento Kings,NBA,"$600,000"
1988-89,Sacramento Kings,NBA,"$600,000"
1990-91,Houston Rockets,NBA,"$700,000"
1991-92,Houston Rockets,NBA,"$1,633,000"
1992-93,Houston Rockets,NBA,"$1,983,000"
1993-94,Houston Rockets,NBA,"$2,150,000"
1994-95,Houston Rockets,NBA,"$2,633,000"
1995-96,Houston Rockets,NBA,"$2,683,000"
1996-97,Orlando Magic,NBA,"$190,100"
Career,(may be incomplete),,"$13,172,100"
