Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mark Olberding,,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,NA,NA
Larry Smith,90.7,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA
Nick Collison,88.4,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1
Tom Meschery,87.1,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3,NA,NA,NA,NA
Ersan İlyasova,86.9,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA,NA,NA
Thurl Bailey,86.4,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9,NA,NA
Brandon Bass,86.1,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2,0.1,0,NA,NA
Purvis Short,86.1,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4,NA,NA
Jeff Green,85.9,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2,NA,NA,NA
Sam Mitchell,85.9,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.9,0.6,NA
Rudy Gay,85.8,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5,NA
