Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mark Olberding,,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5
Larry Smith,89.8,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,0.3
Nick Collison,88.9,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8
Juwan Howard,88.5,7,6,5.6,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Tom Meschery,87.1,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3,NA,NA
Ersan İlyasova,86.9,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA
Mike Miller,86.7,7.4,7,5.3,5,4.8,4.5,4.2,4,3.9,3.9,1.8,1.6
Thurl Bailey,86.4,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9
Sam Mitchell,86.2,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.6
Johnny Newman,86.2,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,0.3
Purvis Short,86.1,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4
