Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Pat Garrity,,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0,-0.2,NA
Donald Royal,83.5,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
Fred Hetzel,83.1,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA,NA,NA
Lamond Murray,80.9,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Luke Jackson,80.6,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA
Paul Griffin,80.4,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA,NA
Kyle O'Quinn,80.4,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Kenny Walker,80.0,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA,NA
Buck Johnson,79.9,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
Earl Lloyd,79.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA
Howard Porter,79.1,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
