,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,BAL,NBA,,8,,,,,,6,9,,,,,,,,,18
1965-66,23,PHI,NBA,,10,19,,,,,6,9,,,7,,,,,6,21
1966-67,24,PHI,NBA,,14,,,,,,9,11,,,,,,,,,33
1967-68,25,PHI,NBA,,12,25,,,,,6,8,,,9,11,,,,6,29
1968-69,26,PHI,NBA,,13,,,,,,8,10,,,,,,,,6,34
1969-70,27,PHI,NBA,,15,24,,,,,6,10,,,6,10,,,,6,34
1970-71,28,PHI,NBA,,9,,,,,,6,8,,,,,,,,,24
1971-72,29,MIL,NBA,,9,,,,,,6,7,,,,,,,,,22
1972-73,30,MIL,NBA,,6,,,,,,4,4,,,,,,,,,13
1974-75,32,UTS,ABA,,9,,2,,,,6,7,,,,,,,,,22
1975-76,33,TOT,NBA,,4,11,,,,,2,3,,,3,5,,,,,10
1975-76,33,DET,NBA,,4,11,,,,,0,0,0,0,0,2,2,0,,2,8
1975-76,33,PHI,NBA,,4,7,,,,,2,3,,,3,5,,,,,10
Career,,,TOT,,15,,,,,,9,11,,,,,,,,,34
,,,NBA,,15,,,,,,9,11,,,,,,,,,34
,,,ABA,,9,,2,,,,6,7,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,PHI,NBA,,15,,,,,,9,11,,,,,,,,,34
1 Season,,BAL,NBA,,8,,,,,,6,9,,,,,,,,,18
2 Seasons,,MIL,NBA,,9,,,,,,6,7,,,,,,,,,22
1 Season,,UTS,ABA,,9,,2,,,,6,7,,,,,,,,,22
1 Season,,DET,NBA,,4,11,,,,,0,0,0,0,0,2,2,0,,2,8
