Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Leon Powe,,4.9,4.3,1.7,0.6,0.5,NA,NA
Ed Ratleff,86.7,5.6,4.5,2.1,1,0.5,NA,NA
Travis Grant,85.3,5.6,4.1,1.5,0.5,NA,NA,NA
Larry McNeill,82.8,4.4,4.3,2.3,1.5,0.7,0.1,NA
Ed Conlin,81.2,4.7,4.3,2,2,0.7,0.5,-0.1
Leonard Gray,80.2,4.1,4,1.8,NA,NA,NA,NA
Landry Fields,80.1,5.3,3.4,1.1,0.4,0.3,NA,NA
Larry Stewart,79.3,4.7,2.9,1.6,0.5,0.1,NA,NA
Sam Smith,78.6,4.6,3.3,1.4,0.2,NA,NA,NA
Andrew Wiggins,77.7,4.2,4.1,2.1,2.1,0.6,NA,NA
Kristaps Porziņģis,76.9,4.5,4.4,3.2,NA,NA,NA,NA
