Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Leon Powe,,4.9,4.3,1.7,0.6,0.5
Tracy Murray,95.3,4.9,4.4,2.2,0.5,0.5
Cornell Warner,89.3,4.7,3.5,1.7,0.6,0.6
Ed Ratleff,86.7,5.6,4.5,2.1,1,0.5
Kwame Brown,85.7,4.9,3.6,2.5,0.8,0.6
Travis Grant,85.3,5.6,4.1,1.5,0.5,NA
Kermit Washington,85.1,5.3,4.3,0.9,0.9,0.8
Ed Conlin,84.8,4.7,4.3,2,2,0.7
Larry McNeill,83.6,4.4,4.3,2.3,1.5,0.7
Bison Dele,82.5,4.7,4,2.3,1.8,0.3
Stephen Jackson,82.1,4.8,4.4,3.1,0.9,-0.1
