Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,LAL,NBA,C,1,NA,1,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0
1968-69,26,SDR,NBA,C,2,NA,12,0,9,0,0,0,NA,NA,NA,21,0,NA,NA,9,0
1971-72,29,BOS,NBA,C,8,NA,68,5.3,11.6,0.455,0,0,NA,NA,NA,12.7,1.6,NA,NA,5.8,10.6
1972-73,30,BOS,NBA,C,7,NA,23,9.4,14.1,0.667,0,0,NA,NA,NA,9.4,4.7,NA,NA,6.3,18.8
1973-74,31,BOS,NBA,C,8,NA,46,6.3,14.1,0.444,0.8,0.8,1,3.9,3.9,7.8,2.3,0.8,0,7,13.3
1974-75,32,BOS,NBA,C,7,NA,25,4.3,10.1,0.429,4.3,7.2,0.6,4.3,4.3,8.6,5.8,0,0,2.9,13
Career,NA,,NBA,,33,NA,175,5.6,12.1,0.458,0.8,1.2,0.667,4.1,4.1,10.9,2.7,0.5,0,6,11.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,30,NA,162,6,12.4,0.482,0.9,1.3,0.667,4.1,4.1,10.2,2.9,0.5,0,5.8,12.9
1 season,NA,SDR,NBA,,2,NA,12,0,9,0,0,0,NA,NA,NA,21,0,NA,NA,9,0
1 season,NA,LAL,NBA,,1,NA,1,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0
