Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,31,BOS,NBA,C,60,NA,427,6.1,13.3,0.462,2.9,4.4,0.651,4.2,9.6,13.8,2.8,0.3,0.7,6.3,15.1,NA,NA,95
1974-75,32,BOS,NBA,C,62,NA,518,4.5,11.3,0.403,2,3.8,0.535,2.9,6.9,9.8,2.8,0.6,0.3,6.3,11.1,NA,NA,97
Career,NA,,NBA,,122,NA,945,5.3,12.2,0.449,2.4,4.1,0.662,3.5,8.1,11.6,2.8,0.5,0.5,6.3,13,NA,NA,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,BOS,NBA,,122,NA,945,5.3,12.2,0.44,2.4,4.1,0.649,3.5,8.1,11.6,2.8,0.5,0.5,6.3,13,NA,NA,96
2 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.483,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,0,NA,0,NA,NA,0.362,NA,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
