Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Hank Finkel,,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0
Joel Anthony,84.5,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2
Vitaly Potapenko,83.2,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2
Mike Brown,82.4,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,-0.4
Adonal Foyle,82.0,4,3.4,2.8,1.9,1.2,1.1,1.1,0.7,-0.1
Bill Wennington,81.6,3.5,2.8,2.3,2.1,1.3,1.2,0.9,0.5,0.4
Duane Causwell,80.5,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5,0
Chris Mihm,80.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA
Connie Dierking,78.5,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.1
Jake Voskuhl,77.8,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3
Meyers Leonard,77.6,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA
