,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,LAL,NBA,,4,,2,3,,,,,,,,8
1967-68,25,SDR,NBA,,13,,16,18,,,,,,,,42
1968-69,26,SDR,NBA,,9,,5,6,,,,,,,,18
1969-70,27,BOS,NBA,,11,,15,18,,,,,,,,27
1970-71,28,BOS,NBA,,8,,7,9,,,,,,,,22
1971-72,29,BOS,NBA,,7,,3,5,,,,,,,,17
1972-73,30,BOS,NBA,,4,,4,5,,,,,,,,8
1973-74,31,BOS,NBA,,5,,4,6,,,,,,,,14
1974-75,32,BOS,NBA,,4,,4,5,,,,,,,,10
Career,,,,,13,,16,18,,,,,,,,42
6 Seasons,,BOS,NBA,,11,,15,18,,,,,,,,27
2 Seasons,,SDR,NBA,,13,,16,18,,,,,,,,42
1 Season,,LAL,NBA,,4,,2,3,,,,,,,,8
