,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,25,PHW,NBA,,7,,7,11,,,6,21
1955-56,26,PHW,NBA,,8,,10,,,,6,19
1956-57,27,PHW,NBA,,6,10,7,10,,,5,19
1957-58,28,PHW,NBA,,8,,6,8,,,,19
1958-59,29,TOT,NBA,,6,,7,9,,,5,18
1958-59,29,PHW,NBA,,5,,4,6,,,5,12
1958-59,29,SYR,NBA,,6,,7,9,,,4,18
Career,,,,,8,,10,,,,,21
5 Seasons,,PHW,NBA,,8,,10,,,,,21
1 Season,,SYR,NBA,,6,,7,9,,,4,18
