Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
George Dempsey,,3.5,2.2,2.1,1.5,1.4
Randy Foye,90.4,3.1,2.3,2.2,1.7,1.1
Larry Wright,90.2,3.5,2.7,1.8,1.4,1.2
Jordan Clarkson,88.8,3,2.4,2.1,1.8,1.2
Eric Piatkowski,88.3,3.9,2.3,2.3,2,1.2
John Battle,87.9,3.2,2.3,1.7,1.5,1
Marko Jarić,87.5,2.8,2.3,1.9,1.5,1.5
Robert Pack,87.2,3.1,2.7,2.2,1.7,1.1
Larry Hughes,86.6,3.7,2.4,2.4,1.7,0.6
John Salmons,86.4,3.6,2.1,1.7,1.4,0.6
Tony Snell,86.4,3.4,2.4,2.4,1.6,0.4
