Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,25,PHW,NBA,SG,48,NA,1387,127,360,0.353,98,141,0.695,236,174,141,352
1955-56,26,PHW,NBA,PG,72,NA,1444,126,265,0.475,88,139,0.633,264,205,146,340
1956-57,27,PHW,NBA,PG,71,NA,1147,134,302,0.444,55,102,0.539,251,136,107,323
1957-58,28,PHW,NBA,PG,67,NA,1048,112,311,0.36,70,105,0.667,214,128,113,294
1958-59,29,TOT,NBA,PG,57,NA,694,92,215,0.428,81,106,0.764,160,68,95,265
1958-59,29,PHW,NBA,PG,23,NA,284,36,75,0.48,23,33,0.697,60,32,31,95
1958-59,29,SYR,NBA,PG,34,NA,410,56,140,0.4,58,73,0.795,100,36,64,170
Career,NA,,NBA,,315,NA,5720,591,1453,0.407,392,593,0.661,1125,711,602,1574
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,PHW,NBA,,281,NA,5310,535,1313,0.407,334,520,0.642,1025,675,538,1404
1 season,NA,SYR,NBA,,34,NA,410,56,140,0.4,58,73,0.795,100,36,64,170
