Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Dempsey,,3.5,2.2,2.1,1.5,1.4,NA,NA,NA
Larry Wright,89.8,3.5,2.7,1.8,1.4,1.2,0,NA,NA
Jordan Clarkson,88.8,3,2.4,2.1,1.8,1.2,NA,NA,NA
Kent Bazemore,86.8,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA
Gary Neal,84.9,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
Haywoode Workman,84.0,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1
Sonny Hertzberg,83.9,4,2.5,2.3,1.4,0.7,NA,NA,NA
Devin Booker,81.7,3.5,2.4,2,1.9,NA,NA,NA,NA
Al Ferrari,81.6,3.3,1.9,1.4,1.4,0.9,0,NA,NA
Matthew Dellavedova,80.0,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA
Bill Gabor,80.0,3.5,2.9,2.8,1.5,0.5,0,NA,NA
