,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,26,NOP,NBA,SG,4,143,57%,40%,4%,,,-16.7,-32.6,6,4,3,0,4,0,33,2,3
2016-17,28,HOU,NBA,SG,11,358,,13%,87%,1%,,+6.4,+14.6,8,3,11,1,5,0,51,2,10
2017-18,29,HOU,NBA,SG,17,549,46%,54%,,,,-1.0,-8.7,10,7,18,4,27,1,69,4,15
2018-19,30,HOU,NBA,SG,11,410,,18%,73%,9%,,+0.7,-11.4,15,7,8,2,15,0,38,7,7
Career,,,NBA,,43,1460,23%,32%,42%,3%,,-0.2,-6.1,39,21,40,7,51,1,191,15,35
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,39,1317,19%,32%,46%,3%,,+1.5,-3.2,33,17,37,7,47,1,158,13,32
1 season,,NOP,NBA,,4,143,57%,40%,4%,,,-16.7,-32.6,6,4,3,0,4,0,33,2,3
