Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Eric Gordon,,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA,NA,NA
Ricky Sobers,95.3,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA,NA
Greg Anthony,94.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA,NA,NA
Jarrett Jack,91.6,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0,NA
Guy Rodgers,90.4,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,NA,NA
Chris Ford,89.8,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA,NA,NA,NA
Sherman Douglas,89.7,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,0.2,-0.1,NA,NA
John Long,89.4,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.5,0.2,0.2,0.2,0.1
Eric Piatkowski,88.8,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0.1,0
Bob Weiss,87.2,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0,NA,NA
Rodney Stuckey,86.8,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA,NA,NA,NA
