Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eric Gordon,,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7
Ricky Sobers,95.3,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1
Greg Anthony,94.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Jarrett Jack,93.5,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Dell Curry,90.1,5.1,5,3.8,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Tony Allen,89.9,5.1,4.7,4.2,4.1,2.7,2.7,2.7,1.9,1.9,1.7,1.6
Chris Ford,89.8,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA
Sherman Douglas,89.4,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,-0.1
John Long,89.4,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2,0.2
Eric Piatkowski,89.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9
Guy Rodgers,89.1,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,-0.2
