,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,24,LAC,NBA,PF,39,584,,,,81%,19%,-7.8,-5.3,5,11,26,4,25,0,40,7,29
2001-02,25,CLE,NBA,PF,65,1107,,,,65%,35%,-1.5,+3.1,13,13,55,10,37,0,41,10,27
2002-03,26,PHI,NBA,PF,77,1381,,,,39%,61%,-0.2,-4.0,12,19,70,14,68,0,39,16,36
2003-04,27,MIL,NBA,C,56,1577,,,,3%,98%,-1.6,-4.8,22,26,82,14,64,0,107,10,44
2004-05,28,TOT,NBA,C-PF,49,941,,,,6%,95%,-4.6,-6.1,15,14,55,5,30,0,97,4,28
2004-05,28,PHI,NBA,PF,24,246,,,,19%,81%,-7.9,-7.5,4,6,11,2,6,0,12,2,4
2004-05,28,SAC,NBA,C,25,695,,,,1%,99%,-3.4,-7.1,11,8,44,3,24,0,85,2,24
2005-06,29,TOT,NBA,PF-C,65,944,,,,10%,90%,-11.7,-8.1,10,11,64,16,24,1,70,4,11
2005-06,29,SAC,NBA,PF,38,429,,,,19%,82%,-4.0,-6.5,3,5,29,7,10,1,40,3,7
2005-06,29,POR,NBA,C,27,515,,,,3%,97%,-18.1,-8.2,7,6,35,9,14,0,30,1,4
2006-07,30,MIL,NBA,PF,67,1523,,,3%,84%,13%,-3.8,+1.5,35,14,110,16,42,10,125,11,25
2007-08,31,PHO,NBA,C,66,844,,,,35%,65%,-3.0,-11.1,15,9,53,10,29,11,39,9,11
2008-09,32,LAC,NBA,PF,51,843,,,,73%,27%,-17.3,-9.2,17,8,63,9,21,0,59,3,18
2009-10,33,LAC,NBA,PF,16,123,,,,52%,48%,-15.2,-8.5,1,1,11,4,4,1,0,0,1
2010-11,34,MIL,NBA,C,2,6,,,,,100%,-101.2,-100.5,0,0,0,0,0,0,0,0,0
2011-12,35,MEM,NBA,C,1,4,,,,,100%,-77.8,-80.2,0,0,0,0,0,0,0,0,0
Career,,,NBA,,554,9877,,,,42%,57%,-5.1,-4.4,145,126,589,102,344,23,617,74,230
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,125,3106,,,1%,43%,56%,-2.9,-1.9,57,40,192,30,106,10,232,21,69
3 seasons,,LAC,NBA,,106,1550,,,,75%,25%,-13.6,-7.7,23,20,100,17,50,1,99,10,48
2 seasons,,PHI,NBA,,101,1627,,,,36%,64%,-1.3,-4.5,16,25,81,16,74,0,51,18,40
1 season,,PHO,NBA,,66,844,,,,35%,65%,-3.0,-11.1,15,9,53,10,29,11,39,9,11
1 season,,CLE,NBA,,65,1107,,,,65%,35%,-1.5,+3.1,13,13,55,10,37,0,41,10,27
2 seasons,,SAC,NBA,,63,1124,,,,7%,93%,-3.7,-6.9,14,13,73,10,34,1,125,5,31
1 season,,POR,NBA,,27,515,,,,3%,97%,-18.1,-8.2,7,6,35,9,14,0,30,1,4
1 season,,MEM,NBA,,1,4,,,,,100%,-77.8,-80.2,0,0,0,0,0,0,0,0,0
