Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brian Skinner,,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0,0,0
Mike Sanders,83.4,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1,NA,NA,NA
Ed Nealy,82.8,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,NA,NA,NA,NA
Bill Willoughby,82.2,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA,NA,NA,NA
Francisco García,81.8,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA,NA,NA,NA
Brad Lohaus,81.6,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA,NA,NA
Darius Songaila,79.7,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA,NA,NA,NA
Jared Jeffries,79.4,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,NA,NA,NA
Chucky Brown,79.1,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0,NA
Ed Manning,79.0,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,NA,NA,NA,NA,NA
Jon Leuer,78.9,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA,NA,NA,NA
