,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1952-53,24,ROC,NBA,,8,,8,10,,,,19
1953-54,25,ROC,NBA,,8,,10,11,,,,20
1954-55,26,ROC,NBA,,10,,7,10,,,6,22
1955-56,27,TOT,NBA,,13,,8,14,,,5,29
1955-56,27,ROC,NBA,,10,,8,14,,,5,28
1955-56,27,STL,NBA,,13,,6,7,,,5,29
1956-57,28,STL,NBA,,12,,6,8,,,6,27
1957-58,29,STL,NBA,,11,,7,9,,,6,26
1958-59,30,STL,NBA,,11,,5,7,,,,25
1959-60,31,STL,NBA,,5,,5,5,,,6,11
Career,,,,,13,,10,14,,,,29
5 Seasons,,STL,NBA,,13,,7,9,,,,29
4 Seasons,,ROC,NBA,,10,,10,14,,,,28
