Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1952-53,24,ROC,NBA,PG,70,NA,1665,176,534,0.33,155,236,0.657,183,186,253,507
1953-54,25,ROC,NBA,PG,71,NA,1891,250,691,0.362,211,303,0.696,211,238,221,711
1954-55,26,ROC,NBA,PG,72,NA,1807,251,721,0.348,143,225,0.636,211,246,179,645
1955-56,27,TOT,NBA,PG,70,NA,1713,202,615,0.328,110,185,0.595,180,222,170,514
1955-56,27,ROC,NBA,,34,NA,856,100,307,0.326,55,90,0.611,85,115,85,255
1955-56,27,STL,NBA,PG,36,NA,857,102,308,0.331,55,95,0.579,95,107,85,259
1956-57,28,STL,NBA,SG,72,NA,2344,239,725,0.33,142,225,0.631,222,367,213,620
1957-58,29,STL,NBA,SG,72,NA,2239,216,719,0.3,134,221,0.606,195,333,184,566
1958-59,30,STL,NBA,SG,72,NA,2235,248,692,0.358,96,156,0.615,164,298,221,592
1959-60,31,STL,NBA,PG,25,NA,334,33,93,0.355,16,29,0.552,24,49,42,82
Career,NA,,NBA,,524,NA,14228,1615,4790,0.337,1007,1580,0.637,1390,1939,1483,4237
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,STL,NBA,,277,NA,8009,838,2537,0.33,443,726,0.61,700,1154,745,2119
4 seasons,NA,ROC,NBA,,247,NA,6219,777,2253,0.345,564,854,0.66,690,785,738,2118
