Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jack McMahon,,4.7,1.3,0.8,0.6,0,-0.2,-0.2,-0.7
Terry Dehere,76.6,5,1.2,1,0.5,0,-0.4,NA,NA
Jeffrey Congdon,71.2,4.3,0.9,0.7,0.3,0,NA,NA,NA
D'Angelo Russell,68.9,5,1.3,0.4,0,NA,NA,NA,NA
Jason Hart,68.8,4.8,1.9,1.5,0.4,0.3,0.1,0,-0.3
Darrick Martin,67.6,4.6,1.9,1.3,0.7,0.5,0.2,0.1,-0.2
Ron Perry,64.3,4.4,1.4,0.3,NA,NA,NA,NA,NA
Johnny Neumann,64.0,4.6,2,1.6,0.8,0.6,0,-0.1,NA
Ronnie Lester,63.9,3.9,1.7,0.7,0.2,0,-0.2,NA,NA
Ed Fleming,61.8,5,2,1.2,1,0.8,NA,NA,NA
Jaren Jackson,61.3,4.1,1.6,0.4,0.1,0,0,0,-0.1
