,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1952-53,24,ROC,NBA,,3,,5,6,,,6,11
1953-54,25,ROC,NBA,,6,,5,7,,,5,16
1954-55,26,ROC,NBA,,9,,7,9,,,5,22
1955-56,27,TOT,NBA,,5,,3,5,,,4,11
1955-56,27,STL,NBA,,5,,3,5,,,4,11
1956-57,28,STL,NBA,,11,23,4,8,,,6,24
1957-58,29,STL,NBA,,5,9,3,5,,,5,13
1958-59,30,STL,NBA,,8,19,4,7,,,6,18
1959-60,31,STL,NBA,,2,2,0,3,1,,3,4
Career,,,,,11,,7,9,,,6,24
5 Seasons,,STL,NBA,,11,,4,8,,,6,24
3 Seasons,,ROC,NBA,,9,,7,9,,,6,22
