Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Stan Miasek,,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA,NA,NA
George Ratkovicz,83.3,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA,NA,NA
Steve Stipanovich,81.0,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA,NA,NA
Elmore Smith,80.8,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Mike Green,80.5,8.7,4.7,3.9,3.8,3.3,2.8,0.4,NA,NA,NA,NA,NA
Darrall Imhoff,78.0,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Tom Boerwinkle,75.6,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA,NA
Bill Walton,75.5,10.2,8.4,5,3.8,3.6,3.3,2.3,2,0.8,-0.1,NA,NA
Steven Adams,75.4,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA,NA,NA
Gene Moore,74.5,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Jeff Ruland,74.4,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA,NA,NA,NA
