Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stan Miasek,,10.3,5.8,5.5,4.1,3.5,2.1
Elmore Smith,86.9,8.7,5.9,4.7,3.9,2.9,1.5
Marcus Camby,84.3,10.3,5.9,3.7,3.5,2.1,0.9
DeAndre Jordan,84.2,11.1,6.2,5.6,5.2,1.5,1.3
Mike Gminski,83.7,9.2,6.1,4.3,4,1.8,1.5
DeMarcus Cousins,83.6,7.9,6,5.7,4.4,4.2,1.1
Red Kerr,83.5,8.7,5.8,5.4,5,4.6,3.8
George Ratkovicz,83.3,9.3,6,5.4,5.2,2.8,-0.1
Andrew Bogut,83.2,7.5,5.5,5.4,4.8,4,2.6
Nikola Vučević,83.0,7,5.7,5.2,4.4,4,1.8
Roy Hibbert,82.3,6.2,6.1,5.4,4.1,3.6,2.1
