,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,23,DTF,BAA,,10,,10,,,,,28
1947-48,24,CHS,BAA,,11,,11,,,,,27
1948-49,25,CHS,BAA,,12,,6,10,,,,28
1949-50,26,CHS,NBA,,8,,6,10,,,,18
1951-52,28,BLB,NBA,,11,,12,20,,,,29
1952-53,29,TOT,NBA,,10,,10,12,,,,23
1952-53,29,BLB,NBA,,10,,10,12,,,6,23
1952-53,29,MLH,NBA,,6,,4,9,,,,15
Career,,,TOT,,12,,12,,,,,29
,,,NBA,,11,,12,20,,,,29
,,,BAA,,12,,11,,,,,28
,,,,,,,,,,,,
3 Seasons,,CHS,BAA,,12,,11,,,,,28
2 Seasons,,BLB,NBA,,11,,12,20,,,,29
1 Season,,DTF,BAA,,10,,10,,,,,28
1 Season,,MLH,NBA,,6,,4,9,,,,15
