Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,NYA,ABA,PG,1,NA,21:00,9,13,0.692,0,0,NA,3,5,0.6,0,1,3,4,0,1,4,21
1975-76,24,NYA,ABA,PG,1,NA,29:00,3,9,0.333,0,1,0,0,0,NA,NA,4,8,NA,NA,NA,3,6
Career,NA,,ABA,,2,NA,50,12,22,0.545,0,1,0,3,5,0.6,0,5,11,4,0,1,7,27
