Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Brian Taylor,,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Michael Adams,94.6,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
Latrell Sprewell,93.4,8.1,8,6.6,5.5,5.1,4,3,2.8,2,0.4
Jeff Teague,91.3,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6
Norm Van Lier,90.9,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1
Klay Thompson,90.7,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA
Muggsy Bogues,90.3,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,0
Jon McGlocklin,90.1,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9
Darrell Armstrong,90.0,8.7,8,7.6,6.4,5.3,4.9,2.5,1.8,0.1,0.1
Vern Fleming,89.8,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.4
John Wall,89.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA
