Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Klay Thompson,,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7
Baron Davis,94.6,8.9,8.2,7.5,6.4,4.5,4.4,4.4,2.1
Mitch Richmond,93.6,9.3,8,7.1,6.4,5.6,5.2,4.9,3.1
Cuttino Mobley,93.0,8.2,7.6,6.9,5.7,5.3,5.2,4.4,2.3
Carl Braun,92.6,9,8.6,7.2,6.2,5.3,4.7,3.7,3.6
Tom Gola,92.3,9.9,7.4,7.1,6.8,6.5,4.4,4.4,1.7
Dick Barnett,92.2,8,8,7.7,6.5,5.8,4.7,3.4,2.2
World B. Free,92.2,10.1,8,7.4,6.9,6,5.7,4.6,1.5
Mike Conley,91.9,9.9,8.2,6.8,6.6,6.4,4.5,4,1.1
George Hill,91.9,9.7,7.8,6.7,6.2,6.1,5.4,4,2.1
Vern Fleming,91.7,8.4,7,6.9,6.7,5.6,4.4,3.3,2
