Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Winston Garland,,4.5,2.9,2.4,1.8,1.7,1.2,-0.3
Fred Carter,91.1,4.7,3.3,2.3,1.8,1.3,1.3,-0.3
Tim Hardaway,89.7,4.8,3.1,2.6,1.9,1.8,0.8,NA
Keith Bogans,88.8,4.9,2.6,2.5,2.3,1.7,1.3,0.1
Bob Hansen,88.4,4.4,2.8,2.6,2.5,1.7,0.7,-0.1
Avery Bradley,86.2,4.8,3.1,2.5,2.4,1.8,0.4,-0.5
Howard Eisley,85.9,4.4,3,2.9,1.3,1.2,1,-0.5
Danny Young,85.7,4.8,3,2.9,2.4,1.8,1.8,-0.1
Sedale Threatt,85.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Frank Johnson,85.1,4.3,3,2.1,1.9,1.6,0.5,0.5
Fred Jones,84.5,4.8,4,2.6,2.2,1.6,1.2,0
