Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Corliss Williamson,,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8,NA,NA
Ray Scott,89.3,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA,NA,NA
Chris Gatling,88.2,4.6,4.5,4,3.9,3.9,3.1,2.4,2.4,2,1.4,-0.1,NA,NA,NA
Walt Williams,87.1,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA,NA,NA
Stephen Jackson,87.0,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,0.3,-0.1,-0.2
Tom Van Arsdale,86.6,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA,NA
Glenn Robinson,86.5,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA,NA,NA
Chuck Person,86.3,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0.9,0,-0.1,NA
Chris Morris,85.5,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA,NA,NA
Harvey Grant,85.3,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA,NA
John Johnson,84.9,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2,NA,NA
