,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,27,TOT,NBA,SF,69,1686,,1%,83%,16%,,+3.1,+3.5,40,37,67,22,114,0,132,27,65
2000-01,27,TOR,NBA,SF,42,886,,,85%,15%,,+1.2,-1.8,17,23,33,15,66,0,71,10,39
2000-01,27,DET,NBA,SF,27,800,,3%,80%,17%,,+5.1,+8.7,23,14,34,7,48,0,61,17,26
2001-02,28,DET,NBA,SF,78,1701,,1%,67%,32%,,+4.4,+3.1,49,33,89,38,127,0,226,26,56
2002-03,29,DET,NBA,SF,82,2061,,3%,89%,8%,,+8.4,+8.7,42,34,97,32,128,0,254,27,65
2003-04,30,DET,NBA,PF,79,1574,,,28%,71%,1%,+6.1,-0.8,41,32,86,23,80,0,122,21,42
2004-05,31,TOT,NBA,PF,72,1527,,,14%,86%,1%,0.0,-1.0,25,28,110,17,109,0,175,29,44
2004-05,31,PHI,NBA,PF,48,1056,,,1%,98%,,-1.4,-0.7,16,21,70,13,72,0,99,18,27
2004-05,31,SAC,NBA,PF,24,471,,,41%,58%,1%,+3.0,+0.6,9,7,40,4,37,0,76,11,17
2005-06,32,SAC,NBA,SF,37,362,,2%,42%,55%,,+4.0,+2.5,14,6,31,6,21,4,32,1,7
2006-07,33,SAC,NBA,PF,68,1337,,,1%,85%,15%,+3.0,+7.2,27,30,100,14,97,22,88,24,34
Career,,,NBA,,485,10248,,1%,51%,46%,2%,+4.4,+3.6,238,200,580,152,676,26,1029,155,313
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,266,6136,,2%,66%,32%,,+6.3,+4.7,155,113,306,100,383,0,663,91,189
3 seasons,,SAC,NBA,,129,2170,,,16%,74%,9%,+3.2,+5.0,50,43,171,24,155,26,196,36,58
1 season,,PHI,NBA,,48,1056,,,1%,98%,,-1.4,-0.7,16,21,70,13,72,0,99,18,27
1 season,,TOR,NBA,,42,886,,,85%,15%,,+1.2,-1.8,17,23,33,15,66,0,71,10,39
