Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Corliss Williamson,,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8
Ray Scott,89.3,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA
Antoine Carr,88.3,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
Chris Gatling,88.2,4.6,4.5,4,3.9,3.9,3.1,2.4,2.4,2,1.4,-0.1,NA
Stephen Jackson,88.1,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,-0.1
Al Harrington,87.3,5.9,5.4,4.3,3.9,3.9,3.8,3.5,2.6,1.6,1.2,1,-0.2
Walt Williams,87.1,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA
Tom Van Arsdale,86.6,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1
Glenn Robinson,86.5,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA
Chuck Person,86.4,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0.9,0
Matt Barnes,86.1,6.3,5.9,4.3,4.3,3.7,3.5,3,3,2.3,1,0.7,0.4
