Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mark Acres,,2.5,2.2,1.9,1.6,0.9,0.3
Willie Burton,90.4,2.6,2.1,2,1.6,0.5,0.1
Jarvis Hayes,88.0,2.9,2.1,1.7,1.5,0.7,0.5
Shelden Williams,87.5,2.2,2.1,2,1.9,1.2,0.5
Corie Blount,86.3,2.6,2.5,1.7,1.2,0.9,0.7
Justin Holiday,86.3,2.5,2.1,1.7,1.3,0.6,-0.1
Earl Cureton,86.0,2.6,2.1,2,1.2,1,0.8
Rasual Butler,85.9,2.6,1.7,1.7,1.6,1.2,0.1
Chucky Brown,85.7,2.2,2.2,2.1,1.6,0.3,0
Shellie McMillon,85.7,2.5,2.2,1.7,1.7,NA,NA
McCoy McLemore,85.1,2.7,2.1,1.8,1.7,0.4,-0.3
