Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mark Acres,,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA,NA
Willie Burton,89.7,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1,NA
McCoy McLemore,87.8,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,NA
Shelden Williams,87.5,2.2,2.1,2,1.9,1.2,0.5,NA,NA,NA
Justin Holiday,86.3,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA,NA
Shellie McMillon,85.7,2.5,2.2,1.7,1.7,NA,NA,NA,NA,NA
David Wood,84.0,2.8,2.3,2.2,1.3,1,0.5,0,NA,NA
Jarvis Hayes,83.9,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Wesley Johnson,80.5,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
Steve Kuberski,80.2,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0
Lamar Green,78.2,2.4,2,1.9,0.5,0.4,0.2,NA,NA,NA
