,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2006-07,18,TULSA,31,,96,233,29,74,85,112,,155,46,35,26,,,306,.412,.392,.759,,9.9,5.0,1.5
2007-08,19,TULSA,39,,208,426,55,157,137,170,,212,88,39,29,92,,608,.488,.350,.806,,15.6,5.4,2.3
2008-09,20,TULSA,36,,169,386,40,122,125,158,,175,128,54,18,93,,503,.438,.328,.791,,14.0,4.9,3.6
2009-10,21,TULSA,35,1202,184,403,49,143,117,153,34,163,163,34,26,80,60,534,.457,.343,.765,34.3,15.3,4.7,4.7
Career,,,141,1202,657,1448,173,496,464,593,34,705,425,162,99,265,60,1951,.454,.349,.782,34.3,13.8,5.0,3.0
