Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Roy Hibbert,,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8
Rick Mahorn,92.5,6.2,5.9,5.9,4.8,4.6,3.6,2.5,1.8,1.3
Steve Hawes,89.5,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1
Joe Barry Carroll,89.0,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7
Greg Ostertag,87.2,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4
Wayne Embry,87.0,6.7,6.3,5.6,4.5,3.4,2,1.9,1.5,1.2
LaSalle Thompson,86.9,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.2
Ervin Johnson,86.4,6.4,5.2,5.1,4.9,3.9,3,2.3,1.3,0.7
Olden Polynice,86.4,6.7,5.3,5.2,5.1,4.5,2.6,2.5,1.6,1.5
Jim Fox,85.4,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.2,0.6
Rich Kelley,85.4,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4
