Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Chuck Nevitt,,0.5,0.1,0.1,0.1,0,0,0,-0.1,-0.2
Daniel Orton,28.5,0.5,0.3,0.3,NA,NA,NA,NA,NA,NA
Oleksiy Pecherov,26.3,0.5,0.1,0,NA,NA,NA,NA,NA,NA
Alan Ogg,26.1,0.5,0.3,0,NA,NA,NA,NA,NA,NA
Dave Feitl,25.9,0.5,0.4,0.3,0.2,0.1,NA,NA,NA,NA
Shawnelle Scott,24.5,0.5,0.4,0.2,0.2,NA,NA,NA,NA,NA
Olumide Oyedeji,11.6,0.4,0.4,0.3,NA,NA,NA,NA,NA,NA
Chris Welp,10.7,0.7,0.3,0,NA,NA,NA,NA,NA,NA
George Zídek,10.2,0.6,0.3,0,NA,NA,NA,NA,NA,NA
Hamed Haddadi,9.5,0.6,0.6,0.4,0.1,0,NA,NA,NA,NA
Jabari Smith,8.7,0.7,0.5,0.2,0,NA,NA,NA,NA,NA
