Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bill Tosheff,,2.9,2.8,-0.6,NA,NA
Curly Armstrong,69.8,3.5,3.1,0.6,NA,NA
Terry Furlow,68.4,3.3,2.8,1.1,0,NA
Louie Nelson,65.1,2.9,2.3,1.1,0,0
Keith Jennings,62.5,4.2,2.9,0.6,NA,NA
Frank Kudelka,62.2,2.4,1.7,-0.4,NA,NA
Alfred McGuire,62.1,3.4,1.9,0.1,NA,NA
Ron Sobie,62.1,3.6,2.6,0.9,0.1,NA
Bryn Forbes,61.6,3.8,2.1,0.1,NA,NA
Rodney McGruder,60.8,2.9,1.9,0.8,NA,NA
Harold Miner,60.6,2.7,2,-0.1,-0.4,NA
