,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1951-52,25,INO,NBA,,2,,2,2,,,5,6
1952-53,26,INO,NBA,,1,,7,7,,,2,9
Career,,,,,2,,7,7,,,5,9
