Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,25,INO,NBA,PG,65,NA,2055,213,651,0.327,182,221,0.824,216,222,204,608
1952-53,26,INO,NBA,PG,67,NA,2459,253,783,0.323,253,314,0.806,229,243,243,759
1953-54,27,MLH,NBA,PG,71,NA,1825,168,578,0.291,156,210,0.743,163,196,207,492
Career,NA,,NBA,,203,NA,6339,634,2012,0.315,591,745,0.793,608,661,654,1859
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INO,NBA,,132,NA,4514,466,1434,0.325,435,535,0.813,445,465,447,1367
1 season,NA,MLH,NBA,,71,NA,1825,168,578,0.291,156,210,0.743,163,196,207,492
