Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Stanley Johnson,,1.8,0.6,0.5,0.4,NA,NA,NA
D.J. White,87.9,1.8,0.8,0.6,0.4,0.2,0,NA
Byron Houston,85.1,1.8,0.9,0.7,0.5,NA,NA,NA
Billy Schaeffer,81.6,1.9,0.8,0.5,NA,NA,NA,NA
Julian Wright,78.8,1.7,0.8,0.8,0.6,NA,NA,NA
Tellis Frank,78.5,2,1.1,0.6,0.3,0.1,NA,NA
Henry James,77.0,2,0.6,0.3,0.3,0.2,0.1,0.1
John Thomas,77.0,1.5,0.9,0.4,0.4,0,NA,NA
Joe Kopicki,75.8,1.9,0.9,0.7,NA,NA,NA,NA
Hank Whitney,75.4,1.8,1.1,0.5,NA,NA,NA,NA
Jim Holstein,75.2,1.8,0.6,0.2,NA,NA,NA,NA
