Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alec Burks,,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8
Gary Grant,81.8,3,1.7,1.6,1.4,1.3,1.3,0.6,-0.4
Randy Brown,78.7,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3
Anthony Bowie,77.9,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5
Iman Shumpert,77.6,2.4,2,2,1.9,1.7,1.5,1.4,0
Eddie House,77.4,3.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Nick Young,77.3,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4
Shelvin Mack,76.1,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
Mike Bratz,75.8,2.7,2.1,1.9,1.7,1.5,0.8,0.4,-0.1
Clint Richardson,75.5,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1
J.J. Barea,74.5,3.2,2.2,2.2,1.9,1.2,0.7,0.5,0.1
