Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Alec Burks,,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8,NA,NA,NA,NA,NA
Gary Grant,86.7,3,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0,0,-0.4
Anthony Bowie,77.9,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA,NA,NA
Iman Shumpert,77.6,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA,NA,NA
Randy Brown,76.7,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0.2,0,-0.8,NA
Mike Bratz,76.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA,NA
Shelvin Mack,76.1,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA,NA,NA
Clint Richardson,75.5,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA,NA
Robert Pack,74.9,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.6,0.4,0.1,0.1,-0.6
Dudley Bradley,74.2,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
Jacque Vaughn,74.2,3.5,3,2,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0,-0.4,NA
