Season,Team,Lg,Salary
2009-10,Minnesota Timberwolves,NBA,"$1,003,560"
2010-11,Minnesota Timberwolves,NBA,"$1,078,800"
2011-12,Minnesota Timberwolves,NBA,"$1,154,040"
2012-13,Cleveland Cavaliers,NBA,"$2,083,042"
2013-14,Dallas Mavericks,NBA,"$2,652,000"
2014-15,Los Angeles Lakers,NBA,"$1,063,384"
2014-15,Sacramento Kings,NBA,"$923,780"
2015-16,Brooklyn Nets,NBA,"$1,500,000"
2015-16,Sacramento Kings,NBA,"$923,670"
2016-17,Miami Heat,NBA,"$6,000,000"
2016-17,Sacramento Kings,NBA,"$923,670"
2017-18,Miami Heat,NBA,"$6,270,000"
2018-19,Phoenix Suns,NBA,"$6,270,000"
2018-19,Detroit Pistons,NBA,"$2,383,076"
Career,(may be incomplete),,"$34,229,022"
