Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Wayne Ellington,,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3,NA
Jamaal Tinsley,86.5,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
Marquis Daniels,85.2,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA
Aaron Brooks,84.9,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA
Devean George,84.9,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3
John Bagley,82.8,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
T.J. Ford,82.7,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA
Adrian Griffin,82.6,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
Malik Sealy,82.4,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA,NA
Chico Vaughn,81.9,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA,NA
Bob Hansen,81.7,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
