Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
David Vaughn,,0.4,0.2,0.1,-0.1
Chris McCullough,72.4,0.3,0.2,0.1,NA
Adrian Caldwell,68.0,0.4,0.3,0.1,0
Pape Sow,64.3,0.6,0.2,0.1,NA
Josh Huestis,62.9,0.5,0.2,0,NA
Donny Marshall,60.8,0.6,0.2,0.2,-0.1
Quincy Lewis,60.1,0.3,0.3,0.1,0
Gene James,57.7,0.5,0.3,0.1,NA
Anthony Frederick,56.9,0.5,0.2,0,NA
Mark Randall,56.7,0.5,0.3,0.2,0
Jarnell Stokes,56.1,0.5,0.1,0.1,NA
