Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ed Sadowski,,11.8,10.7,9.3,4.3,NA,NA,NA,NA
Nikola Jokić,93.2,11.8,10.7,9.7,6.7,NA,NA,NA,NA
Clint Capela,85.3,10.8,10.2,5.9,4.4,0,NA,NA,NA
Karl-Anthony Towns,78.2,14,12.7,10.4,8.3,NA,NA,NA,NA
Jeff Ruland,75.3,10.1,9.3,7.8,3.5,3.3,0.3,0,0
Hassan Whiteside,68.4,10.3,9.5,6.3,5.3,5.3,0.2,0,NA
Rudy Gobert,64.7,14.4,14.3,9.3,8.1,6.4,0.4,NA,NA
Steven Adams,60.9,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA
Steve Stipanovich,57.6,9,6.9,5.9,5,3.6,NA,NA,NA
George Ratkovicz,54.9,9.3,6,5.4,5.2,2.8,-0.1,NA,NA
Stan Miasek,54.5,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA
