Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ed Sadowski,,11.8,10.7,9.3,4.3
Dave Cowens,93.5,12,10.4,9.3,6.4
Nikola Jokić,93.2,11.8,10.7,9.7,6.7
Bill Cartwright,89.8,10.1,10,9.7,5
Bob Lanier,87.5,14.4,10.6,8.4,5.2
Yao Ming,86.7,11.4,10.7,8.7,8.6
Wes Unseld,86.5,11.1,10.8,10,8.3
Dwight Howard,85.2,12.9,9.7,8.6,7.3
Dave Robisch,85.1,10.1,9.1,8.5,5.2
Al Horford,84.9,10.9,10.1,6.8,5.5
Arnie Risen,83.8,10.6,9.3,6.8,4.6
